ts,user_id,pick_lat,pick_lng,drop_lat,drop_lng,hour,is_peak,is_weekday
2025-10-05 00:25:52.778974,user_457,13.01655283981811,77.52773258840807,13.039474105281146,77.43092345265164,0,False,False
2025-07-04 04:38:13.778974,user_752,12.967900594593038,77.56340897140586,12.977568724341516,77.52245538735407,4,False,True
2025-05-21 19:12:02.778974,user_701,13.034386985337045,77.54437980145568,12.992953881052628,77.4904580916841,19,True,True
2025-09-11 00:01:32.778974,user_831,13.12480867828798,77.62097011610888,13.140103054747062,77.63052130689903,0,False,True
2025-05-02 21:29:18.778974,user_120,12.955358568594043,77.72118632258753,12.871818325728556,77.7688268373193,21,False,True
2025-06-23 14:02:06.778974,user_705,12.947596670236592,77.52761122179759,12.92200488350791,77.55329984554346,14,False,True
2025-09-15 04:09:46.778974,user_774,13.111342802967442,77.69250800745378,13.03374729413023,77.62619996186359,4,False,True
2025-10-21 14:50:19.778974,user_692,13.058749347960827,77.51768684082671,13.11845609455796,77.49147878183321,14,False,True
2025-08-17 15:41:56.778974,user_514,12.937201849705655,77.52469459948631,12.917234121451884,77.50988062653884,15,False,False
2025-04-26 03:08:32.778974,user_513,13.007544843442592,77.68172657643692,13.143349098617456,77.64909056662135,3,False,False
2025-07-21 05:33:18.778974,user_426,12.914825318662139,77.68437333904313,12.955642736682625,77.67018056468547,5,False,True
2025-07-20 00:29:29.778974,user_769,12.945265820817829,77.68006649922414,12.9278295979244,77.58468255905659,0,False,False
2025-05-19 09:18:27.778974,user_145,12.998116573941642,77.47339177208123,12.984225476306625,77.41221312719001,9,True,True
2025-09-26 06:15:07.778974,user_867,12.780307488266924,77.55926717229605,12.731107822890628,77.4973960772362,6,False,True
2025-08-20 14:32:04.778974,user_436,12.794844382678201,77.66847754778414,12.820683877154634,77.5197672080084,14,False,True
2025-07-29 23:59:23.778974,user_247,12.905064220567336,77.60238009680685,12.906879993662647,77.62110950221214,23,False,True
2025-10-02 17:21:00.778974,user_599,12.868372711543493,77.48715228695471,12.80482127756753,77.4186235971001,17,True,True
2025-07-26 15:36:50.778974,user_363,13.012768960651185,77.6397764354315,12.937591996539327,77.69831205042563,15,False,False
2025-05-11 23:06:19.778974,user_411,12.880640812854068,77.53642235360516,12.817764524621984,77.56980667789774,23,False,False
2025-07-08 00:18:19.778974,user_110,12.836472470725402,77.77167710344028,12.917408545531545,77.7419180887912,0,False,True
2025-05-20 09:41:34.778974,user_138,13.13582194837722,77.74332837520907,13.245368446992266,77.79725698839117,9,True,True
2025-10-04 08:34:28.778974,user_760,12.943217588146885,77.64685982959188,12.967518016874994,77.68379128916673,8,True,False
2025-07-24 04:06:22.778974,user_412,12.981381569475378,77.72895520116492,12.993193037486405,77.71374396539375,4,False,True
2025-10-21 19:05:09.778974,user_784,12.839169116988012,77.59372667232456,12.81638612790097,77.58735261444743,19,True,True
